pid,nome,squadra,ruolo,ruolo_mantra,pfc,pma,pfc_range,pma_range,pfc_lo,pfc_hi,pma_lo,pma_hi,unc_pfc,dpfcpma,slot,tit,expfm,fascia,status,pen_prob,fk_prob,tix,fix,fix_contrib
87137f53c3ab1845,PICCOLI,Bologna,A,Pc,19.849999999999998,6.6499999999999995,15-25,5-9,15.0,25.0,5.0,9.0,5.0,13.0,3,88.0,6.58,OttimoTit,B,0.0,0.0,75.3,66.1,0.51
fabe71664c9a4272,SOULÈ,Roma,A,A,19.7,17.6,15-25,14-22,15.0,25.0,14.0,22.0,5.0,2.0,3,78.0,6.72,OttimoTit,P,10.0,20.0,40.8,68.4,0.562
144bacfe05e71cf0,ESPOSITO SE.,Sassuolo,A,A,18.5,12.5,14-24,10-16,14.0,24.0,10.0,16.0,5.0,6.0,4,84.0,6.61,OttimoTit,B,20.0,0.0,56.3,67.2,0.512
9daacd7a6fb2183a,BOWIE,Sassuolo,A,Pc,16.45,4.35,13-21,3-6,13.0,21.0,3.0,6.0,4.0,12.0,4,88.0,6.54,OttimoTit,B,0.0,0.0,75.3,62.6,0.475
6ef1ea82ad3eb194,YEBOAH J.,Venezia,A,A,15.15,4.6,12-19,4-6,12.0,19.0,4.0,6.0,3.5,10.0,4,92.0,6.48,OttimoTit,T,10.0,0.0,94.3,60.3,0.442
4dfeeebcd5019f11,ADAMS A.,Venezia,A,Pc,14.6,6.25,11-19,5-8,11.0,19.0,5.0,8.0,4.0,9.0,4,92.0,6.47,OttimoTit,T,20.0,0.0,94.3,58.0,0.432
b50c59578cca462e,TOURÈ E.,Parma,A,Pc,13.799999999999999,4.4,11-18,4-6,11.0,18.0,4.0,6.0,3.5,10.0,4,90.0,6.48,OttimoTit,T,70.0,0.0,84.5,58.0,0.432
b6095cf895409c59,NERES,Napoli,A,W;A,12.200000000000001,6.75,10-16,5-10,10.0,16.0,5.0,10.0,3.0,5.0,4,75.0,6.65,Jolly,P,0.0,0.0,33.3,63.8,0.488
9fa2453adc22608c,MALDINI,Cagliari,A,T;A,10.6,6.35,8-14,5-9,8.0,14.0,5.0,9.0,3.0,5.0,4,86.0,6.48,OttimoTit,T,0.0,20.0,65.5,51.1,0.413
e88c96d6e4670e00,VARELA G.,Monza,A,Pc,10.55,6.25,8-14,5-8,8.0,14.0,5.0,8.0,3.0,5.0,4,83.0,6.52,OttimoTit,T,0.0,0.0,50.0,58.0,0.432
